City,Country,Lat,Lng,Date,Cloudlieness,Humidity,Max Temp,Wind Speed
ponta do sol,BR,-20.63,-46.0,1560981247,79,64,18.35,1.22
upernavik,GL,72.79,-56.15,1560981248,100,95,1.75,6.94
dawei,MM,14.07,98.19,1560981250,70,78,28.45,7.79
aksarka,RU,66.56,67.8,1560981251,0,89,0.45,3.95
albany,US,42.65,-73.75,1560981236,75,61,25.0,5.1
bethel,US,60.79,-161.76,1560981239,75,76,13.0,6.2
bluff,AU,-23.58,149.07,1560981257,0,66,9.05,2.26
saint-philippe,CA,45.36,-73.48,1560981258,1,57,28.0,2.6
coihaique,CL,-45.58,-72.07,1560981259,40,53,11.0,5.7
redlands,US,34.06,-117.19,1560981261,1,17,34.44,5.7
port blair,IN,11.67,92.75,1560981262,100,82,28.25,10.01
khatanga,RU,71.98,102.47,1560981263,52,44,18.95,7.55
panorama,BR,-21.35,-51.86,1560981264,67,58,23.15,1.98
alofi,NU,-19.06,-169.92,1560981265,75,83,25.0,7.2
puerto ayora,EC,-0.74,-90.35,1560981267,100,73,25.25,5.42
plettenberg bay,ZA,-34.05,23.37,1560981268,100,35,18.65,2.36
punta arenas,CL,-53.16,-70.91,1560981269,75,86,3.0,12.9
trelew,AR,-43.25,-65.31,1560981270,0,66,8.75,2.82
saint-augustin,FR,44.83,-0.61,1560981271,0,77,18.89,2.6
mecca,SA,21.43,39.83,1560981004,0,35,29.75,3.11
komsomolskiy,RU,67.55,63.78,1560981274,80,96,-1.65,4.06
hualmay,PE,-11.1,-77.61,1560981277,9,82,17.95,3.87
saskylakh,RU,71.97,114.09,1560981278,20,51,16.25,7.75
cabinda,AO,-5.56,12.19,1560981280,23,85,24.25,4.63
nuuk,GL,64.17,-51.74,1560981282,40,86,5.0,3.6
faanui,PF,-16.48,-151.75,1560981283,60,76,26.95,9.64
tautira,PF,-17.73,-149.15,1560981284,75,66,29.0,4.6
suileng,CN,47.25,127.08,1560981286,19,77,10.25,3.35
noumea,NC,-22.28,166.46,1560981287,0,82,18.0,0.5
beringovskiy,RU,63.05,179.32,1560981289,100,28,21.75,2.03
thompson,CA,55.74,-97.86,1560981290,75,18,27.0,2.1
gizo,IL,31.8,34.94,1560981291,20,83,24.44,1.5
aklavik,CA,68.22,-135.01,1560981292,20,48,16.0,2.1
havoysund,NO,71.0,24.66,1560981293,40,81,6.0,6.7
kruisfontein,ZA,-34.0,24.73,1560981294,100,30,17.95,4.28
antofagasta,CL,-23.65,-70.4,1560981265,20,77,18.89,5.7
butaritari,KI,3.07,172.79,1560981297,100,76,29.15,6.82
north bend,US,43.41,-124.22,1560981298,1,59,23.89,11.8
kavieng,PG,-2.57,150.8,1560981299,86,71,28.45,0.57
aquiraz,BR,-3.9,-38.39,1560981300,0,78,30.0,2.1
qaanaaq,GL,77.48,-69.36,1560981301,100,88,0.25,1.4
lasa,CY,34.92,32.53,1560981303,20,83,24.0,1.5
hithadhoo,MV,-0.6,73.08,1560981304,100,74,28.05,0.92
okoneshnikovo,RU,54.84,75.08,1560981305,12,88,9.45,3.03
cayenne,GF,4.94,-52.33,1560981306,0,78,28.0,2.1
avarua,CK,-21.21,-159.78,1560981307,90,69,27.0,3.1
ranau,MY,5.95,116.67,1560981308,75,100,25.0,4.1
tevaitoa,PF,-16.78,-151.5,1560981310,99,76,27.05,9.24
atuona,PF,-9.8,-139.03,1560981311,0,77,27.35,9.48
maldonado,UY,-34.91,-54.96,1560981312,20,71,14.0,8.2
mollendo,PE,-17.03,-72.02,1560981313,100,80,15.85,1.88
maragogi,BR,-9.01,-35.22,1560981314,13,91,22.25,1.71
marawi,PH,8.0,124.29,1560981316,100,90,25.0,2.24
petropavlovsk-kamchatskiy,RU,53.05,158.65,1560981317,90,100,8.0,1.0
grenville,CA,45.62,-74.6,1560981318,90,64,28.0,2.6
port hedland,AU,-20.31,118.58,1560981319,41,93,17.0,2.1
hamilton,CA,43.26,-79.87,1560981031,75,53,26.11,1.5
new norfolk,AU,-42.78,147.06,1560981321,40,75,5.0,4.6
lamu,ID,0.57,122.3,1560981324,100,90,23.05,1.73
dikson,RU,73.51,80.55,1560981325,100,97,3.85,7.44
sotouboua,TG,8.56,0.98,1560981326,0,90,24.45,2.44
ryki,PL,51.63,21.94,1560981327,0,100,25.0,1.5
poronaysk,RU,49.22,143.1,1560981329,100,87,10.05,1.31
tiarei,PF,-17.53,-149.33,1560981330,75,66,29.0,4.6
zyryanka,RU,65.73,150.89,1560981331,100,65,17.25,2.59
sao joao da barra,BR,-21.64,-41.05,1560981332,0,78,23.0,4.1
bereda,ES,43.27,-7.54,1560981333,75,93,16.67,0.64
shagonar,RU,51.54,92.92,1560981335,96,84,12.35,1.79
sitangkai,PH,4.66,119.39,1560981337,34,72,28.85,2.76
inirida,CO,3.87,-67.92,1560981338,83,91,27.75,1.06
la palma,CO,5.36,-74.39,1560981339,96,45,30.65,1.91
vao,EE,59.1,26.19,1560981341,97,84,13.85,1.29
sitka,US,37.17,-99.65,1560981342,5,56,27.22,3.58
huilong,CN,28.89,110.18,1560981343,100,96,22.05,0.73
la rioja,AR,-29.41,-66.86,1560981345,0,37,11.25,2.14
pangnirtung,CA,66.15,-65.72,1560981346,40,66,10.0,8.2
konya,TR,37.87,32.48,1560981153,75,87,16.11,3.6
sao miguel do araguaia,BR,-13.28,-50.16,1560981350,30,42,28.15,1.19
muroto,JP,33.37,134.14,1560981351,20,88,20.0,3.1
berlevag,NO,70.86,29.09,1560981352,75,81,6.0,6.2
bilma,NE,18.69,12.92,1560981355,0,11,36.25,4.84
atar,MR,20.52,-13.05,1560981357,0,12,38.25,5.77
richmond,CA,49.16,-123.14,1560981280,90,48,20.0,3.1
codrington,AU,-28.95,153.24,1560981359,3,93,12.0,0.5
yarada,IN,17.65,83.27,1560981360,100,72,28.95,2.7
salym,RU,60.06,71.48,1560981362,94,89,10.35,2.77
ponta delgada,PT,37.73,-25.67,1560981363,75,82,19.0,2.6
isangel,VU,-19.55,169.27,1560981365,75,78,25.0,3.33
east london,ZA,-33.02,27.91,1560981366,100,25,16.85,2.25
high prairie,CA,55.43,-116.48,1560981367,100,59,13.15,4.33
ilulissat,GL,69.22,-51.1,1560981369,40,66,9.0,2.1
kushiro,JP,43.11,144.15,1560981370,100,95,12.75,1.75
la ronge,CA,55.1,-105.3,1560981371,40,24,26.0,6.7
lae,PG,-6.72,146.98,1560981372,20,88,22.0,1.5
chontalpa,MX,17.7,-93.52,1560981373,0,53,34.15,4.35
cherskiy,RU,68.75,161.3,1560981374,6,35,17.65,3.7
general roca,AR,-39.03,-67.58,1560981261,0,58,13.0,3.1
itoman,JP,26.12,127.67,1560981377,75,94,26.0,6.7
kaitangata,NZ,-46.28,169.85,1560981378,100,72,2.95,0.97
fremont,US,37.55,-121.99,1560981209,1,57,30.56,4.1
shaowu,CN,27.34,117.49,1560981382,100,95,23.45,1.39
pentecoste,BR,-3.8,-39.27,1560981384,55,85,26.67,3.58
abonnema,NG,4.71,6.79,1560981385,75,88,27.0,3.1
mamlyutka,KZ,54.94,68.54,1560981386,0,82,10.45,4.34
sovetskiy,RU,56.76,48.47,1560981388,57,89,15.15,2.38
linxia,CN,35.6,103.21,1560981391,100,85,13.25,0.66
kamaishi,JP,39.28,141.86,1560981392,8,95,14.05,0.65
kapaa,US,22.08,-159.32,1560981208,20,66,29.0,6.2
nikolskoye,RU,59.7,30.79,1560981394,18,82,15.0,2.0
sorong,ID,-0.86,131.25,1560981149,98,94,24.15,3.45
hasaki,JP,35.73,140.83,1560981397,75,94,20.0,3.6
chicama,PE,-7.84,-79.15,1560981398,90,82,19.0,3.6
aviles,ES,43.55,-5.92,1560981400,75,93,16.11,1.5
mogadishu,SO,2.04,45.34,1560981401,80,84,24.75,5.84
rawson,AR,-43.3,-65.11,1560981402,0,66,8.75,2.82
karratha,AU,-20.74,116.85,1560981403,0,84,14.75,0.75
leningradskiy,RU,69.38,178.42,1560981404,0,69,4.35,4.93
warsaw,PL,52.23,21.01,1560981206,0,88,23.33,3.6
civitavecchia,IT,42.09,11.79,1560981408,0,88,23.0,3.1
constitucion,MX,23.99,-104.67,1560981409,90,24,28.0,3.6
liwale,TZ,-9.8,37.92,1560981410,16,81,16.05,2.64
moyale,ET,3.52,39.05,1560981412,0,64,21.25,2.55
chulym,RU,55.09,80.97,1560981413,0,91,8.35,1.24
samarai,PG,-10.62,150.67,1560981414,94,89,22.75,1.89
puerto madero,AR,-34.61,-58.36,1560981413,0,62,14.0,5.1
tabuk,PH,17.41,121.44,1560981416,55,96,18.75,1.27
vila velha,BR,-3.71,-38.6,1560981418,0,78,30.0,2.1
ust-tsilma,RU,65.44,52.15,1560981419,59,75,3.25,1.57
nsanje,MZ,-16.92,35.26,1560981420,0,85,14.85,1.83
cockburn town,TC,21.46,-71.14,1560981422,40,83,27.35,9.06
egvekinot,RU,66.32,-179.17,1560981423,100,44,16.35,3.39
axim,GH,4.87,-2.24,1560981424,33,88,25.95,5.37
westport,IE,53.8,-9.52,1560981334,55,82,12.22,2.24
pevek,RU,69.7,170.27,1560981427,0,76,3.95,2.03
alyangula,AU,-13.85,136.42,1560981428,100,93,15.0,7.58
torbay,CA,47.66,-52.73,1560981429,75,71,13.89,2.6
nishihara,JP,35.74,139.53,1560981430,90,77,23.33,3.1
mezen,RU,65.85,44.24,1560981432,95,82,8.25,3.28
georgetown,GY,6.8,-58.16,1560981433,20,70,30.0,5.1
bathsheba,BB,13.22,-59.52,1560981434,75,83,27.0,10.3
chokurdakh,RU,70.62,147.9,1560981435,94,52,16.15,2.92
saint-francois,FR,46.42,3.91,1560981437,0,77,19.0,1.0
nelson bay,AU,-32.72,152.14,1560981302,75,93,8.89,3.6
nanortalik,GL,60.14,-45.24,1560981439,99,89,3.25,1.9
langsa,ID,4.47,97.97,1560981323,83,93,20.75,1.21
moyamba,SL,8.16,-12.43,1560981441,23,96,24.55,1.36
ambulu,ID,-8.35,113.61,1560981442,2,86,23.35,1.8
traverse city,US,44.76,-85.62,1560981405,75,77,22.0,3.6
imbituba,BR,-28.24,-48.67,1560981409,75,77,20.0,2.1
praia,BR,-20.25,-43.81,1560981446,0,49,22.0,1.71
mana,RS,43.52,20.24,1560981447,0,88,22.0,0.69
kawalu,ID,-7.38,108.21,1560981448,80,95,18.75,1.17
nadvoitsy,RU,63.89,34.27,1560981449,54,86,13.25,3.02
namibe,AO,-15.19,12.15,1560981450,0,76,22.15,3.96
copiapo,CL,-27.37,-70.33,1560981365,0,77,15.0,7.7
fort nelson,CA,58.81,-122.69,1560981453,90,70,9.0,9.8
igarka,RU,67.47,86.57,1560981454,100,85,6.75,4.68
el alto,BO,-16.5,-68.19,1560981455,20,20,14.0,3.6
guerrero negro,MX,27.97,-114.04,1560981456,0,85,17.65,5.95
talnakh,RU,69.49,88.39,1560981457,90,100,3.0,7.0
avera,US,33.19,-82.53,1560981459,75,70,32.78,3.6
kimbe,PG,-5.56,150.15,1560981460,78,91,23.55,1.5
rivadavia,AR,-31.53,-68.59,1560981461,2,28,9.25,1.02
klaksvik,FO,62.23,-6.59,1560981462,90,93,9.0,2.6
vila,IT,45.18,8.4,1560981463,0,49,25.0,2.6
lompoc,US,34.64,-120.46,1560981333,1,68,25.0,3.6
palmas bellas,PA,9.23,-80.09,1560981466,75,83,30.0,2.1
necochea,AR,-38.55,-58.74,1560981467,100,69,11.55,8.97
samfya,ZM,-11.37,29.56,1560981468,0,73,13.05,1.96
thunder bay,CA,48.41,-89.26,1560981399,40,40,25.0,1.5
taoudenni,ML,22.68,-3.98,1560981470,0,6,36.75,4.56
vila franca do campo,PT,37.72,-25.43,1560981473,75,82,19.0,2.6
fayaoue,NC,-20.65,166.53,1560981474,100,74,23.55,7.42
libreville,GA,0.39,9.45,1560981374,20,83,26.0,4.1
latung,ID,-8.45,120.42,1560981476,0,89,19.35,2.19
barcelos,PT,41.53,-8.62,1560981478,20,93,17.78,1.0
batemans bay,AU,-35.71,150.18,1560981480,0,100,6.11,1.79
evensk,RU,61.92,159.24,1560981481,100,87,9.95,3.14
cidreira,BR,-30.17,-50.22,1560981482,0,61,15.95,6.51
half moon bay,US,37.46,-122.43,1560981483,90,93,27.78,3.1
manama,AE,25.33,56.02,1560981485,0,70,37.0,3.6
taree,AU,-31.91,152.46,1560981488,8,81,9.44,3.6
narsaq,GL,60.91,-46.05,1560981489,0,48,16.0,4.6
hammerfest,NO,70.66,23.68,1560981490,40,81,6.0,6.7
lahaina,US,20.87,-156.68,1560981491,20,51,32.0,7.7
lavrentiya,RU,65.58,-170.99,1560981494,0,22,19.65,1.7
merrill,US,42.03,-121.6,1560981495,1,15,26.11,4.6
forio,IT,40.73,13.86,1560981497,0,69,23.0,1.0
coari,BR,-4.09,-63.14,1560981498,63,65,30.75,0.57
fairlie,US,33.31,-95.96,1560981499,40,59,35.0,5.7
popondetta,PG,-8.77,148.24,1560981502,41,63,17.45,1.75
pangody,RU,65.85,74.49,1560981503,95,70,3.85,3.82
ovalle,CL,-30.6,-71.2,1560981504,98,15,23.75,1.94
khorramshahr,IR,30.43,48.18,1560981505,0,29,32.0,4.1
kuching,MY,1.56,110.34,1560981506,75,100,24.0,1.0
mazatlan,MX,23.22,-106.42,1560981285,40,40,32.22,6.2
tikrit,IQ,34.62,43.68,1560981508,0,24,31.25,4.59
chuy,UY,-33.69,-53.46,1560981510,100,74,13.05,8.19
jos,NG,9.92,8.9,1560981512,87,88,22.85,1.78
smithers,CA,54.78,-127.17,1560981361,75,41,15.0,4.6
sept-iles,CA,50.2,-66.38,1560981249,40,52,18.0,3.6
tasiilaq,GL,65.61,-37.64,1560981515,0,86,5.0,3.6
sompeta,IN,18.93,84.6,1560981516,100,67,28.65,2.62
emet,TR,39.34,29.26,1560981518,100,88,17.05,0.9
matane,CA,48.83,-67.52,1560981243,90,77,16.11,1.55
motatei,RO,44.08,23.2,1560981520,0,93,18.89,2.1
goya,AR,-29.14,-59.27,1560981522,0,67,12.95,0.85
gejiu,CN,23.36,103.16,1560981524,100,96,17.25,2.66
swan hill,AU,-35.34,143.56,1560981525,100,57,8.15,2.45
ostrovnoy,RU,68.05,39.51,1560981526,100,95,2.25,2.77
zambezi,ZM,-13.55,23.12,1560981527,0,55,14.15,2.55
qaqortoq,GL,60.72,-46.03,1560981528,0,48,16.0,4.6
mehamn,NO,71.03,27.85,1560981530,75,80,6.0,3.6
itzehoe,DE,53.92,9.52,1560981531,75,93,18.89,4.1
batagay-alyta,RU,67.8,130.41,1560981532,100,31,19.35,2.77
lebu,ET,8.96,38.73,1560981533,0,77,16.0,2.1
walvis bay,NA,-22.95,14.51,1560981534,0,27,26.0,5.7
labuhan,ID,-2.54,115.51,1560981535,82,98,22.25,0.49
richland,US,46.28,-119.28,1560981538,1,27,26.11,4.6
la rochelle,FR,46.16,-1.15,1560981540,90,82,18.0,5.7
kyaikkami,MM,16.08,97.57,1560981542,21,81,28.45,7.51
teya,MX,21.05,-89.07,1560981543,75,39,38.0,4.1
quatre cocos,MU,-20.21,57.76,1560981544,40,69,23.0,6.2
the valley,AI,18.22,-63.06,1560981546,20,70,30.0,7.2
boyolangu,ID,-8.09,111.9,1560981548,65,94,18.65,2.29
kungurtug,RU,50.6,97.53,1560981549,78,84,9.85,0.98
paamiut,GL,61.99,-49.67,1560981551,0,84,4.65,5.91
harwich,US,41.69,-70.08,1560981441,90,88,20.56,3.6
sampit,ID,-2.54,112.95,1560981553,96,99,22.05,0.07
karaton,ID,-6.34,106.1,1560981554,20,78,25.0,3.1
uthal,PK,25.81,66.62,1560981556,38,82,28.55,3.58
ayorou,NE,14.73,0.92,1560981557,0,25,36.35,7.49
vanavara,RU,60.35,102.28,1560981558,96,69,11.55,1.45
simbahan,PH,6.3,120.58,1560981559,61,78,28.45,4.24
xining,CN,36.62,101.77,1560981560,100,94,10.05,1.1
baruun-urt,MN,46.68,113.28,1560981562,1,57,17.05,2.49
mackay,CA,53.65,-115.58,1560981563,90,76,9.0,2.1
katsuura,JP,33.93,134.5,1560981564,0,82,20.0,2.1
nome,US,30.04,-94.42,1560981565,75,59,35.0,6.7
mahibadhoo,MV,3.78,72.97,1560981566,100,79,28.85,4.69
guantanamo,BO,-16.14,-62.05,1560981569,90,72,19.0,8.2
gornopravdinsk,RU,60.06,69.92,1560981571,34,92,8.85,2.39
morro bay,US,35.37,-120.85,1560981331,90,77,28.0,3.1
gosainganj,IN,26.77,81.11,1560981573,75,83,26.0,1.0
kilindoni,TZ,-7.91,39.67,1560981574,0,73,27.45,7.33
barrow,AR,-38.31,-60.23,1560981575,24,72,10.35,6.05
poitiers,FR,46.58,0.34,1560981576,90,82,17.78,3.1
mayo,CA,63.59,-135.9,1560981578,75,49,20.0,2.1
vardo,US,39.62,-77.74,1560981375,1,78,30.0,2.35
balabac,PH,7.99,117.06,1560981580,82,77,27.45,1.89
bela,PK,26.23,66.31,1560981581,9,81,25.85,1.98
sistranda,NO,63.73,8.83,1560981582,0,71,14.0,2.6
arkhara,RU,49.42,130.09,1560981584,68,97,9.55,2.71
savannah bight,HN,16.45,-85.85,1560981585,100,82,28.55,13.2
black river,JM,18.03,-77.85,1560981586,20,62,32.0,12.9
orchard homes,US,46.86,-114.05,1560981587,20,29,21.0,5.1
provideniya,RU,64.42,-173.23,1560981588,0,66,12.0,3.0
faya,SA,18.39,42.45,1560981590,40,17,26.0,3.6
thinadhoo,MV,0.53,72.93,1560981591,100,70,28.55,1.37
port hardy,CA,50.7,-127.42,1560981592,75,87,12.0,1.5
khandbari,NP,27.38,87.21,1560981596,93,85,13.65,1.01
road town,VG,18.42,-64.62,1560981472,40,70,31.0,5.7
nanakuli,US,21.39,-158.15,1560981599,20,54,33.0,7.2
makokou,GA,0.56,12.85,1560981600,100,94,21.65,1.02
kahului,US,20.89,-156.47,1560981547,20,51,32.0,7.7
severo-kurilsk,RU,50.68,156.12,1560981602,100,89,7.65,2.63
huarmey,PE,-10.07,-78.15,1560981604,17,84,18.55,4.17
ajaccio,FR,41.93,8.74,1560981605,0,56,21.0,3.6
vanimo,PG,-2.67,141.3,1560981606,94,77,27.55,2.97
port keats,AU,-14.25,129.55,1560981608,100,33,17.25,6.33
maple creek,CA,49.91,-109.46,1560981609,72,41,23.45,9.33
atambua,ID,-9.11,124.89,1560981612,0,75,24.75,9.26
cap malheureux,MU,-19.98,57.61,1560981613,40,69,23.0,6.2
mount gambier,AU,-37.83,140.78,1560981614,75,100,-1.0,1.0
luocheng,CN,28.29,114.55,1560981616,100,99,22.95,0.96
nueva gerona,CU,21.88,-82.8,1560981367,44,69,30.75,2.41
jijiga,ET,9.35,42.8,1560981618,100,92,16.15,4.33
kupang,ID,-10.16,123.6,1560981619,20,78,23.0,3.6
kargopol,RU,61.51,38.95,1560981620,51,68,15.95,4.13
balkanabat,TM,39.51,54.36,1560981622,11,38,29.75,2.27
acari,BR,-6.44,-36.64,1560981623,0,46,27.65,7.42
talavera de la reina,ES,39.96,-4.83,1560981624,100,62,17.78,2.77
ugoofaaru,MV,5.67,73.0,1560981625,100,80,28.75,5.77
karwar,IN,14.8,74.13,1560981627,61,83,27.05,2.56
lovrin,RO,45.97,20.77,1560981628,0,100,21.11,2.6
staszow,PL,50.56,21.17,1560981629,96,1,20.0,1.32
staryy nadym,RU,65.61,72.68,1560981630,41,63,2.25,3.01
kavaratti,IN,10.57,72.64,1560981631,100,76,28.95,10.63
bandarbeyla,SO,9.49,50.81,1560981632,4,46,29.75,9.25
sioux lookout,CA,50.1,-91.92,1560981634,20,25,24.0,2.6
auki,NG,12.18,6.51,1560981635,1,52,29.45,3.99
saint anthony,US,43.97,-111.68,1560981636,1,20,23.0,12.3
ternate,PH,14.29,120.72,1560981637,75,74,29.44,2.1
zhigansk,RU,66.77,123.37,1560981638,93,72,16.75,8.19
noyabrsk,RU,63.2,75.45,1560981640,33,67,5.45,3.11
camabatela,AO,-8.19,15.37,1560981641,0,45,18.05,0.66
helong,CN,25.94,116.13,1560981642,100,95,23.95,1.78
esso,RU,55.93,158.7,1560981643,89,84,4.35,3.26
novoagansk,RU,61.94,76.66,1560981645,0,66,5.55,3.19
qazvin,IR,36.28,50.01,1560981646,0,65,14.15,5.09
springdale,US,36.19,-94.13,1560981649,40,61,28.33,5.1
baherden,TM,38.44,57.43,1560981650,64,42,25.25,1.83
nador,MA,35.17,-2.93,1560981651,0,41,24.0,3.6
erenhot,CN,43.65,111.97,1560981652,65,26,22.85,2.83
kodiak,US,39.95,-94.76,1560981654,90,56,23.89,2.1
san cristobal,EC,-0.39,-78.55,1560981655,96,65,13.89,2.24
martapura,ID,-3.41,114.85,1560981656,20,94,24.0,4.48
gladstone,AU,-23.84,151.26,1560981537,0,62,11.11,4.1
billings,US,45.79,-108.5,1560981659,40,21,28.0,3.1
eston,CA,51.15,-108.75,1560981660,90,100,13.0,8.2
kloulklubed,PW,7.04,134.26,1560981661,90,94,25.0,2.25
dhidhdhoo,MV,6.88,73.1,1560981662,100,78,28.95,7.7
zyryanskoye,RU,56.83,86.62,1560981663,0,96,8.75,2.93
ulundi,ZA,-28.29,31.43,1560981664,88,78,8.15,1.84
nemuro,JP,43.32,145.57,1560981666,100,100,11.05,2.73
natchez,US,31.56,-91.4,1560981668,1,59,32.0,5.7
geraldton,CA,49.72,-86.95,1560981669,75,32,21.0,2.1
mapiripan,CO,2.89,-72.13,1560981670,1,84,27.05,1.3
laguna,MX,27.52,-110.01,1560981671,75,28,36.0,4.1
ancud,CL,-41.87,-73.83,1560981673,90,93,10.0,5.7
buchanan,LR,5.88,-10.05,1560981674,40,94,26.0,5.45
espera feliz,BR,-20.65,-41.91,1560981675,89,88,15.15,0.5
arnstadt,DE,50.83,10.95,1560981677,0,56,23.0,1.0
mpwapwa,TZ,-6.35,36.49,1560981679,0,76,17.25,1.61
weyburn,CA,49.67,-103.85,1560981680,100,38,23.33,9.39
baykit,RU,61.68,96.39,1560981681,2,97,8.35,2.29
goderich,CA,43.74,-81.71,1560981683,100,87,22.78,5.31
belaya gora,RU,68.54,146.19,1560981684,0,39,21.85,3.48
orotukan,RU,62.26,151.67,1560981685,100,81,12.65,0.76
san quintin,PH,17.54,120.52,1560981686,15,90,24.75,1.4
mount isa,AU,-20.73,139.49,1560981687,0,52,10.0,4.1
araguaina,BR,-7.19,-48.21,1560981605,64,66,27.35,0.58
kovdor,RU,67.56,30.47,1560981690,75,81,8.05,2.62
souillac,FR,45.6,-0.6,1560981693,90,88,18.89,2.6
bridlington,GB,54.08,-0.19,1560981694,51,82,16.0,2.1
otradnoye,RU,59.77,30.8,1560981695,18,82,15.0,2.0
jumla,NP,29.28,82.18,1560981697,4,88,8.15,1.77
maltahohe,NA,-24.83,16.98,1560981698,31,41,9.25,2.21
camopi,GF,3.17,-52.33,1560981699,27,85,26.45,1.54
marsh harbour,BS,26.54,-77.06,1560981518,93,81,27.75,5.53
okha,RU,53.59,142.95,1560981701,100,97,4.85,1.63
ambagarh chauki,IN,20.78,80.75,1560981702,17,62,28.85,3.32
sao filipe,CV,14.9,-24.5,1560981704,0,85,23.45,7.84
soligalich,RU,59.08,42.29,1560981706,19,86,14.75,2.22
champerico,MX,16.38,-93.6,1560981707,40,46,34.0,3.1
challapata,BO,-18.9,-66.78,1560981708,0,29,10.05,0.94
clyde river,CA,70.47,-68.59,1560981709,75,93,2.0,5.7
hambantota,LK,6.12,81.12,1560981711,75,100,27.0,5.1
birjand,IR,32.86,59.22,1560981712,0,17,24.0,4.1
